geo,siec,year,value
LV,"other petroleum products",2013,0
MD,"other petroleum products",2013,0
ME,"other petroleum products",2013,0
MK,"other petroleum products",2013,0
MT,"other petroleum products",2013,0
NL,"other petroleum products",2013,6.177
NO,"other petroleum products",2013,40.148
PL,"other petroleum products",2013,0
PT,"other petroleum products",2013,1.045
RO,"other petroleum products",2013,0
RS,"other petroleum products",2013,0
SE,"other petroleum products",2013,0
SI,"other petroleum products",2013,0
SK,"other petroleum products",2013,0
TR,"other petroleum products",2013,58.584
XK,"other petroleum products",2013,0
AL,"domestic heating oil",2013,0
AT,"domestic heating oil",2013,1089.508
BA,"domestic heating oil",2013,NULL
BE,"domestic heating oil",2013,2659.702
BG,"domestic heating oil",2013,0
CY,"domestic heating oil",2013,63.245
CZ,"domestic heating oil",2013,0
DE,"domestic heating oil",2013,13240.92
DK,"domestic heating oil",2013,281.077
EE,"domestic heating oil",2013,4.041
EL,"domestic heating oil",2013,923.875
ES,"domestic heating oil",2013,1558.016
FI,"domestic heating oil",2013,368.358
FR,"domestic heating oil",2013,6192.701
GE,"domestic heating oil",2013,0
HR,"domestic heating oil",2013,85.689
HU,"domestic heating oil",2013,0
IE,"domestic heating oil",2013,319.107
IS,"domestic heating oil",2013,1.027
IT,"domestic heating oil",2013,1505.876
LT,"domestic heating oil",2013,10.287
LU,"domestic heating oil",2013,179.356
LV,"domestic heating oil",2013,25.371
MD,"domestic heating oil",2013,0
ME,"domestic heating oil",2013,1.02
MK,"domestic heating oil",2013,5.137
MT,"domestic heating oil",2013,1.027
NL,"domestic heating oil",2013,7.223
NO,"domestic heating oil",2013,89.729
PL,"domestic heating oil",2013,82.736
PT,"domestic heating oil",2013,61.622
RO,"domestic heating oil",2013,0
RS,"domestic heating oil",2013,3.133
SE,"domestic heating oil",2013,127.252
SI,"domestic heating oil",2013,152.626
SK,"domestic heating oil",2013,0
TR,"domestic heating oil",2013,0
XK,"domestic heating oil",2013,3.315
AL,renewables/biomass,2013,160.003
AT,renewables/biomass,2013,1850.415
