freq,nrg_bal,siec,unit,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,RS,204.668,169.576,156.119,215.643,228.558,207.614,209.424,248.815,147.967,131.12,138.131,55.903
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,SI,0.454,0.455,0.0,0.0,0.112,0.076,0.065,0.061,0.031,0.009,0.002,0.001
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,SK,26.47,19.605,17.878,29.594,34.595,30.204,28.489,53.782,55.674,50.548,30.995,31.74
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,TR,2170.147,1848.568,1968.284,2052.774,3251.067,2863.787,3399.989,4060.888,3570.595,2701.253,2565.133,2757.626
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,UA,610.149,244.447,263.775,228.104,161.919,161.293,151.842,106.411,,,,
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,UK,669.634,565.854,553.771,542.257,535.139,500.229,456.219,,,,,
A,FC_OTH_HH_E,C0000X0350-0370,KTOE,XK,18.262,13.976,10.063,8.758,10.145,2.506,2.518,2.842,2.853,2.799,2.622,1.884
A,FC_OTH_HH_E,E7000,KTOE,AL,331.9,300.946,274.377,257.18,252.325,270.591,268.293,298.287,301.346,288.807,282.396,293.025
A,FC_OTH_HH_E,E7000,KTOE,AT,1517.555,1445.877,1480.249,1533.864,1547.568,1542.786,1586.985,1757.162,1894.03,1818.532,1929.29,1878.914
A,FC_OTH_HH_E,E7000,KTOE,BA,,395.959,406.363,406.965,408.942,402.837,406.363,412.296,422.356,423.818,429.923,450.731
A,FC_OTH_HH_E,E7000,KTOE,BE,1654.136,1572.227,1561.281,1549.175,1516.311,1498.34,1480.782,1505.537,1510.499,1392.657,1364.832,1402.855
A,FC_OTH_HH_E,E7000,KTOE,BG,906.019,910.576,915.219,922.872,957.656,942.65,932.407,976.456,1027.798,1029.208,1058.619,1109.891
A,FC_OTH_HH_E,E7000,KTOE,CY,123.56,122.528,130.267,136.285,143.119,145.166,152.338,155.274,156.269,152.905,145.615,161.337
A,FC_OTH_HH_E,E7000,KTOE,CZ,1265.348,1214.531,1236.629,1284.179,1307.934,1294.027,1311.852,1373.386,1484.089,1350.146,1330.754,1344.332
A,FC_OTH_HH_E,E7000,KTOE,DE,11693.895,11143.594,11066.208,11023.216,11257.438,10995.701,10880.396,10956.664,11306.965,11533.62,11303.009,11387.618
A,FC_OTH_HH_E,E7000,KTOE,DK,886.242,868.788,875.035,883.099,845.793,837.647,880.624,887.07,939.659,833.966,831.93,885.075
